Modality, Model Name, Image Size (Orginial), Batch Size, Image Size (Resized), Accuracy, Precision, Recall, F1-Score
Captions,ALBERT,CLIP(RN50x4+COCO)+GPT2,,64,0.75,1.00,0,0
Captions,ALBERT,CLIP(RN50x4+Conceptual)+GPT2,,64,0.75,1.00,0,0
Captions,ALBERT,CLIP(RN50x16+COCO)+GPT2,,64,0.75,1.00,0,0
Captions,ALBERT,CLIP(RN50x16+Conceptual)+GPT2,,64,0.75,1.00,0,0
Captions,ALBERT,CLIP(RN50x64+COCO)+GPT2,,64,0.75,1.00,0,0
Captions,ALBERT,CLIP(RN50x64+Conceptual)+GPT2,,64,0.75,1.00,0,0
Captions,ALBERT,CLIP(RN101+COCO)+GPT2,,64,0.75,1.00,0,0
Captions,ALBERT,CLIP(RN101+Conceptual)+GPT2,,64,0.75,1.00,0,0
Captions,ALBERT,CLIP(ViT-B-16+COCO)+GPT2,,64,0.75,1.00,0,0
Captions,ALBERT,CLIP(ViT-B-16+Conceptual)+GPT2,,64,0.75,1.00,0,0
Captions,ALBERT,CLIP(ViT-B-32+COCO)+GPT2,,64,0.75,1.00,0,0
Captions,ALBERT,CLIP(ViT-B-32+Conceptual)+GPT2,,64,0.75,1.00,0,0
Captions,ALBERT,CLIP(ViT-L-14@336px+COCO)+GPT2,,64,0.75,1.00,0,0
Captions,ALBERT,CLIP(ViT-L-14@336px+Conceptual)+GPT2,,64,0.75,1.00,0,0
Captions,ALBERT,CLIP(ViT-L-14+COCO)+GPT2,,64,0.75,1.00,0,0
Captions,ALBERT,CLIP(ViT-L-14+Conceptual)+GPT2,,64,0.75,1.00,0,0

Captions,GPT-4,BLIP_VIT-B_CapFilt-L,,64,0.71,0.28,0.10,0.15
Captions,GPT-4,BLIP_VIT-L,,64,0.71,0.28,0.10,0.15
Captions,GPT-4,CLIP(Flickr30k)+GPT2-large,,64,0.72,0.24,0.06,0.09
Captions,GPT-4,CLIP(Flickr30k)+GPT2-small,,64,0.75,0.50,0.01,0.03
Captions,GPT-4,CLIP(RN50+COCO)+GPT2,,64,0.75,0,0,0
Captions,GPT-4,CLIP(RN50+Conceptual)+GPT2,,64,0.73,0.34,0.10,0.16
Captions,GPT-4,CLIP(RN50x4+COCO)+GPT2,,64,0.75,0,0,0
Captions,GPT-4,CLIP(RN50x4+Conceptual)+GPT2,,64,0.75,0.44,0.02,0.04
Captions,GPT-4,CLIP(RN50x16+COCO)+GPT2,,64,0.71,0.22,0.07,0.10
Captions,GPT-4,CLIP(RN50x16+Conceptual)+GPT2,,64,0.74,0.16,0.01,0.03
Captions,GPT-4,CLIP(RN50x64+COCO)+GPT2,,64,0.74,0,0,0
Captions,GPT-4,CLIP(RN50x64+Conceptual)+GPT2,,64,0.75,0,0,0
Captions,GPT-4,CLIP(RN101+COCO)+GPT2,,64,0.75,0,0,0
Captions,GPT-4,CLIP(RN101+Conceptual)+GPT2,,64,0.75,0.36,0.02,0.04
Captions,GPT-4,CLIP(ViT-B-16+COCO)+GPT2,,64,0.72,0.20,0.04,0.07
Captions,GPT-4,CLIP(ViT-B-16+Conceptual)+GPT2,,64,0.75,0.33,0.02,0.04
Captions,GPT-4,CLIP(ViT-B-32+COCO)+GPT2,,64,0.74,0.15,0.01,0.03
Captions,GPT-4,CLIP(ViT-B-32+Conceptual)+GPT2,,64,0.74,0.28,0.05,0.08
Captions,GPT-4,CLIP(ViT-L-14@336px+COCO)+GPT2,,64,0.72,0.23,0.06,0.09
Captions,GPT-4,CLIP(ViT-L-14@336px+Conceptual)+GPT2,,64,0.71,0.24,0.09,0.13
Captions,GPT-4,CLIP(ViT-L-14+COCO)+GPT2,,64,0.72,0.25,0.06,0.10
Captions,GPT-4,CLIP(ViT-L-14+Conceptual)+GPT2,,64,0.74,0.27,0.03,0.05

1- remove the rows with null values
2- removed rows where Accuracy < 0.75 or F1-Score < 0.15 to keep only the most relevant results
3- All ALBERT has null values so removed it all 
4- GPT-4 has none in the threshold defined in 2 so it was removed like ALBERT
